Departure_Hour,Flight_Distance_km,Departing_Flights,Airline,Runways_Available,Weather,Aircraft_Weight_kg,Taxi_Out_Time
7,1163.0,26.0,Airline_B,1,Rainy,100939,33.41
12,328.0,32.0,Airline_B,3,clear,79516,19.88
20,2695.0,35.0, Airline A ,4,Clear,191521,38.77
0,1019.0,94.0,Airline_B,3, Rainy ,100290,48.83
15,1346.0,95.0, Airline_B ,4,Rainy,176688,40.29
6,105.0,16.0, Airline_B ,4,Rainy,136661,19.02
4,567.0,23.0,Airline_B,2,Rainy,122954,27.47
21,1855.0,88.0,Airline_B,4, Rainy ,72746,46.23
22,,16.0, Airline A ,2, Rainy ,117990,11.04
2,103.0,18.0,Airline_B,2,CLEAR,108810,17.86
11,,57.0,Airline_B,2,Rainy,168362,42.87
15,745.0,81.0,Airline_B,1,Clear,196295,32.98
18,217.0,68.0,Airline_B,1,CLEAR,183669,21.94
4,1729.0,96.0,Airline_B,4,Rainy,52659,52.98
21,2651.0,91.0, AIRLINE_A ,2,Rainy,136516,52.13
13,2121.0,48.0,Airline_B,1,clear,124567,35.46
4,1046.0,27.0, AIRLINE_A ,2,Rainy,65037,33.86
14,2721.0,68.0, airline_a ,3,Rainy,176498,49.71
16,1564.0,26.0,AIRLINE_A,3,Clear,62109,27.2
13,293.0,23.0,Airline A,3, clear ,72010,12.47
19,946.0,,Airline_B,4, CLEAR ,58787,22.83
4,2862.0,33.0,AIRLINE_A,2,Rainy,189544,52.09
11,1515.0,69.0,airline_a,3,CLEAR,111709,34.58
15,1558.0,54.0, Airline_B ,1,Rainy,84518,39.07
15,2320.0,12.0, Airline_B ,3, CLEAR ,103909,33.19
20,1768.0,46.0, Airline_B ,3,clear,68351,33.11
6,2473.0,52.0, AIRLINE_A ,3,CLEAR,65282,47.12
3,1533.0,49.0,Airline_B,4, Rainy ,55075,42.79
0,1241.0,99.0,Airline_B,1,Rainy,78365,49.41
4,2983.0,64.0, AIRLINE_A ,2,clear,61002,54.08
22,1910.0,96.0,Airline_B,1,Clear,63947,40.61
9,823.0,48.0,Airline_B,2, CLEAR ,144840,29.57
21,324.0,24.0,Airline_B,4, Rainy ,166219,18.59
4,631.0,13.0, Airline_B ,4,CLEAR,128610,19.67
3,212.0,95.0, airline_a ,4, Rainy ,102142,35.48
1,2287.0,34.0, Airline_B ,4,CLEAR,106307,44.4
19,658.0,22.0, Airline_B ,2, Clear ,185565,17.24
9,2148.0,91.0,airline_a,3,CLEAR,100085,50.5
18,2237.0,42.0,Airline_B,2, clear ,84228,37.04
0,753.0,25.0,Airline A,1,clear,93472,26.06
23,419.0,51.0,Airline_B,4,CLEAR,99437,20.04
4,1673.0,75.0,AIRLINE_A,4, Rainy ,109711,47.72
12,1928.0,64.0,Airline A,1,CLEAR,187888,40.89
3,2017.0,51.0, AIRLINE_A ,2,Rainy,127175,46.04
15,238.0,43.0,AIRLINE_A,3,Clear,114307,18.95
23,2992.0,39.0,Airline_B,3,Clear,96733,40.74
15,2126.0,22.0, Airline A ,1,Rainy,178202,33.97
